"","tool","run","parameter","moment","value"
"253","nm7","0005","SIGMA1.1","estimate","0.0439057"
"254","nm7","0005","SIGMA1.1","prse",NA
"255","nm7","0005","SIGMA1.1","se",NA
"256","nm7","0005","SIGMA2.1","estimate","0"
"257","nm7","0005","SIGMA2.1","prse",NA
"258","nm7","0005","SIGMA2.1","se",NA
"259","nm7","0005","SIGMA2.2","estimate","0.214012"
"260","nm7","0005","SIGMA2.2","prse",NA
"261","nm7","0005","SIGMA2.2","se",NA
"262","nm7","0005","cov","status","-1"
"263","nm7","0005","prob","text","0005 phase1 2 CMT like 1004 but diff. initial on V3"
"264","nm7","0005","min","status","0"
"265","nm7","0005","data","filename","../../1005bootdata/0005.csv"
"266","nm7","0006","ofv","minimum","2219.22980565271"
"267","nm7","0006","THETA1","estimate","9.42002"
"268","nm7","0006","THETA1","prse",NA
"269","nm7","0006","THETA1","se",NA
"270","nm7","0006","THETA2","estimate","21.2996"
"271","nm7","0006","THETA2","prse",NA
"272","nm7","0006","THETA2","se",NA
"273","nm7","0006","THETA3","estimate","0.0675592"
"274","nm7","0006","THETA3","prse",NA
"275","nm7","0006","THETA3","se",NA
"276","nm7","0006","THETA4","estimate","2.91471"
"277","nm7","0006","THETA4","prse",NA
"278","nm7","0006","THETA4","se",NA
"279","nm7","0006","THETA5","estimate","94.2795"
"280","nm7","0006","THETA5","prse",NA
"281","nm7","0006","THETA5","se",NA
"282","nm7","0006","THETA6","estimate","0.967179"
"283","nm7","0006","THETA6","prse",NA
"284","nm7","0006","THETA6","se",NA
"285","nm7","0006","THETA7","estimate","1.48455"
"286","nm7","0006","THETA7","prse",NA
"287","nm7","0006","THETA7","se",NA
"288","nm7","0006","OMEGA1.1","estimate","0.130887"
"289","nm7","0006","OMEGA1.1","prse",NA
"290","nm7","0006","OMEGA1.1","se",NA
"291","nm7","0006","OMEGA2.1","estimate","0.103248"
"292","nm7","0006","OMEGA2.1","prse",NA
"293","nm7","0006","OMEGA2.1","se",NA
"294","nm7","0006","OMEGA2.2","estimate","0.145272"
"295","nm7","0006","OMEGA2.2","prse",NA
"296","nm7","0006","OMEGA2.2","se",NA
"297","nm7","0006","OMEGA3.1","estimate","-0.00113366"
"298","nm7","0006","OMEGA3.1","prse",NA
"299","nm7","0006","OMEGA3.1","se",NA
"300","nm7","0006","OMEGA3.2","estimate","-0.0399984"
"301","nm7","0006","OMEGA3.2","prse",NA
"302","nm7","0006","OMEGA3.2","se",NA
"303","nm7","0006","OMEGA3.3","estimate","0.0239777"
"304","nm7","0006","OMEGA3.3","prse",NA
"305","nm7","0006","OMEGA3.3","se",NA
"306","nm7","0006","SIGMA1.1","estimate","0.0573807"
"307","nm7","0006","SIGMA1.1","prse",NA
"308","nm7","0006","SIGMA1.1","se",NA
"309","nm7","0006","SIGMA2.1","estimate","0"
"310","nm7","0006","SIGMA2.1","prse",NA
"311","nm7","0006","SIGMA2.1","se",NA
"312","nm7","0006","SIGMA2.2","estimate","0.149807"
"313","nm7","0006","SIGMA2.2","prse",NA
"314","nm7","0006","SIGMA2.2","se",NA
"315","nm7","0006","cov","status","-1"
"316","nm7","0006","prob","text","0006 phase1 2 CMT like 1004 but diff. initial on V3"
"317","nm7","0006","min","status","0"
"318","nm7","0006","data","filename","../../1005bootdata/0006.csv"
"319","nm7","0007","ofv","minimum","2786.22712811209"
"320","nm7","0007","THETA1","estimate","9.16635"
"321","nm7","0007","THETA1","prse",NA
"322","nm7","0007","THETA1","se",NA
"323","nm7","0007","THETA2","estimate","22.4551"
"324","nm7","0007","THETA2","prse",NA
"325","nm7","0007","THETA2","se",NA
"326","nm7","0007","THETA3","estimate","0.0707535"
"327","nm7","0007","THETA3","prse",NA
"328","nm7","0007","THETA3","se",NA
"329","nm7","0007","THETA4","estimate","3.73687"
"330","nm7","0007","THETA4","prse",NA
"331","nm7","0007","THETA4","se",NA
"332","nm7","0007","THETA5","estimate","156.784"
"333","nm7","0007","THETA5","prse",NA
"334","nm7","0007","THETA5","se",NA
"335","nm7","0007","THETA6","estimate","1.17621"
"336","nm7","0007","THETA6","prse",NA
"337","nm7","0007","THETA6","se",NA
"338","nm7","0007","THETA7","estimate","1.01479"
"339","nm7","0007","THETA7","prse",NA
"340","nm7","0007","THETA7","se",NA
"341","nm7","0007","OMEGA1.1","estimate","0.286512"
"342","nm7","0007","OMEGA1.1","prse",NA
"343","nm7","0007","OMEGA1.1","se",NA
"344","nm7","0007","OMEGA2.1","estimate","0.124331"
"345","nm7","0007","OMEGA2.1","prse",NA
"346","nm7","0007","OMEGA2.1","se",NA
"347","nm7","0007","OMEGA2.2","estimate","0.0805833"
"348","nm7","0007","OMEGA2.2","prse",NA
"349","nm7","0007","OMEGA2.2","se",NA
"350","nm7","0007","OMEGA3.1","estimate","-0.00239167"
"351","nm7","0007","OMEGA3.1","prse",NA
"352","nm7","0007","OMEGA3.1","se",NA
"353","nm7","0007","OMEGA3.2","estimate","-0.029284"
"354","nm7","0007","OMEGA3.2","prse",NA
"355","nm7","0007","OMEGA3.2","se",NA
"356","nm7","0007","OMEGA3.3","estimate","0.0385362"
"357","nm7","0007","OMEGA3.3","prse",NA
"358","nm7","0007","OMEGA3.3","se",NA
"359","nm7","0007","SIGMA1.1","estimate","0.0494222"
"360","nm7","0007","SIGMA1.1","prse",NA
"361","nm7","0007","SIGMA1.1","se",NA
"362","nm7","0007","SIGMA2.1","estimate","0"
"363","nm7","0007","SIGMA2.1","prse",NA
"364","nm7","0007","SIGMA2.1","se",NA
"365","nm7","0007","SIGMA2.2","estimate","0.185641"
"366","nm7","0007","SIGMA2.2","prse",NA
"367","nm7","0007","SIGMA2.2","se",NA
"368","nm7","0007","cov","status","-1"
"369","nm7","0007","prob","text","0007 phase1 2 CMT like 1004 but diff. initial on V3"
"370","nm7","0007","min","status","0"
"371","nm7","0007","data","filename","../../1005bootdata/0007.csv"
"372","nm7","0008","ofv","minimum","2527.92495751186"
"373","nm7","0008","THETA1","estimate","9.03629"
"374","nm7","0008","THETA1","prse",NA
"375","nm7","0008","THETA1","se",NA
"376","nm7","0008","THETA2","estimate","21.2148"
"377","nm7","0008","THETA2","prse",NA
"378","nm7","0008","THETA2","se",NA
"379","nm7","0008","THETA3","estimate","0.0695427"
"380","nm7","0008","THETA3","prse",NA
"381","nm7","0008","THETA3","se",NA
"382","nm7","0008","THETA4","estimate","3.55771"
"383","nm7","0008","THETA4","prse",NA
"384","nm7","0008","THETA4","se",NA
"385","nm7","0008","THETA5","estimate","114.5"
"386","nm7","0008","THETA5","prse",NA
"387","nm7","0008","THETA5","se",NA
"388","nm7","0008","THETA6","estimate","1.10076"
"389","nm7","0008","THETA6","prse",NA
"390","nm7","0008","THETA6","se",NA
"391","nm7","0008","THETA7","estimate","1.14785"
"392","nm7","0008","THETA7","prse",NA
"393","nm7","0008","THETA7","se",NA
"394","nm7","0008","OMEGA1.1","estimate","0.226183"
"395","nm7","0008","OMEGA1.1","prse",NA
"396","nm7","0008","OMEGA1.1","se",NA
"397","nm7","0008","OMEGA2.1","estimate","0.0929795"
"398","nm7","0008","OMEGA2.1","prse",NA
"399","nm7","0008","OMEGA2.1","se",NA
"400","nm7","0008","OMEGA2.2","estimate","0.0674136"
"401","nm7","0008","OMEGA2.2","prse",NA
"402","nm7","0008","OMEGA2.2","se",NA
