"","tool","run","parameter","moment","value"
"163","nm7",4,"THETA1","se",NA
"164","nm7",4,"THETA2","estimate","20.5726"
"165","nm7",4,"THETA2","prse",NA
"166","nm7",4,"THETA2","se",NA
"167","nm7",4,"THETA3","estimate","0.0765618"
"168","nm7",4,"THETA3","prse",NA
"169","nm7",4,"THETA3","se",NA
"170","nm7",4,"THETA4","estimate","2.9722"
"171","nm7",4,"THETA4","prse",NA
"172","nm7",4,"THETA4","se",NA
"173","nm7",4,"THETA5","estimate","95.8813"
"174","nm7",4,"THETA5","prse",NA
"175","nm7",4,"THETA5","se",NA
"176","nm7",4,"THETA6","estimate","0.983133"
"177","nm7",4,"THETA6","prse",NA
"178","nm7",4,"THETA6","se",NA
"179","nm7",4,"THETA7","estimate","0.267282"
"180","nm7",4,"THETA7","prse",NA
"181","nm7",4,"THETA7","se",NA
"182","nm7",4,"OMEGA1.1","estimate","0.165816"
"183","nm7",4,"OMEGA1.1","prse",NA
"184","nm7",4,"OMEGA1.1","se",NA
"185","nm7",4,"OMEGA2.1","estimate","0.0868132"
"186","nm7",4,"OMEGA2.1","prse",NA
"187","nm7",4,"OMEGA2.1","se",NA
"188","nm7",4,"OMEGA2.2","estimate","0.0580407"
"189","nm7",4,"OMEGA2.2","prse",NA
"190","nm7",4,"OMEGA2.2","se",NA
"191","nm7",4,"OMEGA3.1","estimate","-0.0301877"
"192","nm7",4,"OMEGA3.1","prse",NA
"193","nm7",4,"OMEGA3.1","se",NA
"194","nm7",4,"OMEGA3.2","estimate","-0.0257547"
"195","nm7",4,"OMEGA3.2","prse",NA
"196","nm7",4,"OMEGA3.2","se",NA
"197","nm7",4,"OMEGA3.3","estimate","0.0439678"
"198","nm7",4,"OMEGA3.3","prse",NA
"199","nm7",4,"OMEGA3.3","se",NA
"200","nm7",4,"SIGMA1.1","estimate","0.0484025"
"201","nm7",4,"SIGMA1.1","prse",NA
"202","nm7",4,"SIGMA1.1","se",NA
"203","nm7",4,"SIGMA2.1","estimate","0"
"204","nm7",4,"SIGMA2.1","prse",NA
"205","nm7",4,"SIGMA2.1","se",NA
"206","nm7",4,"SIGMA2.2","estimate","0.0832307"
